station,color_code,2015-7,2015-8,2015-9,2015-10,2015-11,2015-12,2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10
府中,BL,738433,730243,726966,750738,768162,810880,762354,738691,779878,749150,757192,731488,746726,769309,690507,754611,769973,836954,750430,770645,761855,746155,744183,735516,748185,748291,741194,737400,759761,842324,759990,738400,785061,746031,771662,754639,760009,775306,759020,803056,799496,867921,810277,753193,796333,786779,796643,782766,799468,779898,787393,817788,842203,913420,770727,700992,650348,557146,640246,682243,727702,807092,805302,823085
板橋,BL,1093320,1094017,1052821,1091180,1142080,1433705,1108250,1086634,1127061,1076503,1109608,1091996,1124800,1157037,1033873,1133564,1217716,1575429,1107197,1146981,1134651,1124885,1126126,1125833,1164519,1179203,1104986,1115554,1215886,1735341,1157703,1134617,1166601,1132581,1172524,1154897,1176743,1244262,1158137,1211803,1343808,1731599,1209100,1133827,1208153,1193247,1219084,1214922,1260857,1230917,1211956,1247564,1406388,1763329,1185110,1004197,921433,797453,937547,1016765,1090773,1223481,1189298,1224177
新埔,BL,973818,972079,1001727,1038161,1060400,1094274,1030641,949381,1088755,1018242,1053759,995671,986552,1008290,938754,1043979,1071598,1111275,997220,1008119,1073496,1026716,1047519,1039649,1008223,1011485,1035790,1011561,1073948,1132983,1051408,965192,1106587,1032577,1084176,1058716,1023637,1048547,1057048,1112205,1119893,1165605,1105277,967196,1109210,1069743,1111224,1097182,1084050,1057948,1110088,1128963,1173949,1218437,1020111,920302,942572,817372,934134,947634,965997,1062385,1108020,1107200
江子翠,BL,651967,642870,648752,673413,689204,709657,681706,631204,707934,668946,689371,662485,674451,691746,631457,675330,712240,731829,670373,688240,714347,688126,692837,689568,692783,688346,686030,661786,704488,739626,709629,650366,727751,682776,713456,695641,694021,704333,698128,721228,730727,755593,728808,646486,716572,702099,722005,708984,722902,702317,710958,722657,749272,766860,663963,632239,617183,545470,616540,637634,673151,739468,748056,745506
龍山寺,BL,691937,694389,704893,730241,739879,767277,772753,869242,780199,734515,752591,708821,720538,736768,691282,757867,773867,813237,813776,846483,811588,775315,780008,736669,750975,768604,743267,761963,801808,862544,830527,903515,858085,794811,816040,778498,779671,804017,788710,848730,839022,875212,886794,947589,861046,828917,838872,808874,827483,816381,818932,875975,904313,940778,915058,681129,593810,526344,602198,648401,685253,772228,759368,803686
西門,BL,2068701,2076376,1923851,1975354,1981938,2092259,2013306,2124499,2016873,1912359,1979343,1989932,2065868,2128961,1838484,1995970,2033198,2214784,2056284,2486744,2016166,2048585,1976693,1990409,2077617,2101815,1894322,2005576,2034483,2233526,2065119,2229390,2151761,2007246,2006129,2015661,2086809,2148214,1926544,2104358,2078824,2295150,2172024,2276397,2116560,2092506,2096979,2139086,2190518,2164501,2019863,2200812,2184758,2375629,2128924,1683562,1303522,1075000,1277398,1474846,1649737,1865932,1714528,1827957
善導寺,BL,535795,532430,555345,595855,619082,640726,582614,479887,636412,585919,602816,564218,548503,554775,517224,592086,624546,656105,537431,519838,626448,587854,602358,602791,553644,550286,586613,579359,631465,669471,588311,471177,641507,584480,620039,598770,567518,565290,581359,639773,641857,681779,628444,503130,647141,613048,638568,607220,592508,562893,625628,646260,676972,703213,543297,461274,515521,426659,494780,509390,510219,559705,628668,613082
忠孝新生,BL,859065,855234,828815,843642,852315,887320,857778,861275,947359,873950,872972,885080,986332,999972,872575,869556,887759,1021874,847199,897061,922674,867950,855297,842809,884756,886192,866632,841436,893257,951861,873769,820070,935560,847449,883044,884228,922292,897506,884748,921589,908867,1011679,959984,873212,978743,893010,931611,903326,960253,929915,936091,945167,982762,1023903,854020,787029,739696,614135,697667,751607,816841,892557,903200,918152
忠孝敦化,BL,1160215,1148070,1077162,1094625,1108094,1196157,1158764,1088774,1136590,1073806,1103003,1093692,1146231,1173238,986990,1081151,1090869,1181621,1091850,1111883,1078201,1048523,1060928,1077493,1128424,1127605,1043479,1024161,1071480,1159254,1075485,1056625,1061709,1007613,1045677,1046412,1069291,1088537,1009349,1048886,1032752,1093036,1054775,934089,1017037,955518,995916,1019448,1060665,1045586,993992,1003272,1035242,1102475,980564,912450,795404,681347,818547,868865,943841,1041078,997784,1003426
國父紀念館,BL,664285,658075,599143,603546,608986,642926,652147,619283,647556,586241,622189,586837,635647,681013,577716,635486,626427,663519,612155,651050,633636,623029,618155,619483,651480,660811,600800,597176,617472,653097,639342,638249,651720,612373,651081,627765,649558,665331,605905,631892,644527,682776,698756,679879,663218,648653,664542,637455,684650,673868,623506,640395,656034,702925,596013,564734,493513,412768,482304,508019,574552,642059,611148,605317
